DEPTH,ALCDLC,ALDD,DGDD,DGRCC,R09PC,R15PC,R27PC,R39PC,ROPA,TNDD,TNPL,TNPS,ALCDLC_TR,ALDD_TR,DGDD_TR,DGRCC_TR,R09PC_TR,R15PC_TR,R27PC_TR,R39PC_TR,ROPA_TR,TNDD_TR,TNPL_TR,TNPS_TR,ALCDLC_TR_TR,ALDD_TR_TR,DGDD_TR_TR,DGRCC_TR_TR,R09PC_TR_TR,R15PC_TR_TR,R27PC_TR_TR,R39PC_TR_TR,ROPA_TR_TR,TNDD_TR_TR,TNPL_TR_TR,TNPS_TR_TR,MISSING_FLAG
1547.622,2.3641,176.1197,5.7231,79.4908,1.0336,1.0217,1.0401,1.0188,55.3265,144508544.0,0.288191,0.329493,,,,,,,,,,,,,,,,,,,,,,,,,1
1547.7744,2.3652,143.9609,4.8657,79.2439,1.0367,1.0078,1.029,1.0505,118.5165,86246400.0,0.289576,0.329859,,,,,,,,,,,,,,,,,,,,,,,,,1
1547.9268,2.369,111.8021,4.0083,79.2355,1.0571,0.9938,1.0179,1.0331,181.7065,27984264.0,0.290172,0.330224,,,,,,,,,,,,,,,,,,,,,,,,,1
1548.0792,2.372,95.5136,3.7859,78.7238,1.0597,0.9884,1.0154,1.0121,219.603,90.7404,0.288888,0.330099,,,,,,,,,,,,,,,,,,,,,,,,,1
1548.2316,2.3698,93.8931,4.1504,77.9214,1.0595,0.991,1.0208,0.9684,234.1223,96.2058,0.287754,0.32952,,,,,,,,,,,,,,,,,,,,,,,,,1
1548.384,2.3693,92.2725,4.515,79.2084,1.0277,0.9936,1.0262,0.9943,248.6416,101.6713,0.287755,0.328941,,,,,,,,,,,,,,,,,,,,,,,,,1
1548.5364,2.3652,102.0325,12.7419,80.0542,1.017,0.996,1.0373,1.0265,252.1557,107.9551,0.288219,0.328136,,,,,,,,,,,,,,,,,,,,,,,,,1
1548.6888,2.3613,148.0604,46.0251,70.5255,1.062,0.9979,1.0668,1.0367,220.5987,116.8472,0.287316,0.326612,,,,,,,,,,,,,,,,,,,,,,,,,1
1548.8412,2.3607,194.0882,79.3083,76.2773,1.0722,0.9997,1.0962,1.0354,189.0416,125.7393,0.284787,0.325088,,,,,,,,,,,,,,,,,,,,,,,,,1
1548.9936,2.3542,240.1161,112.5915,82.6078,1.2899,1.0015,1.1257,1.0528,157.4845,134.6314,0.282488,0.323564,,,,,,,,,,,,,,,,,,,,,,,,,1
1549.146,2.353,197.485,178.3478,80.4422,1.1558,0.9471,1.0715,1.1631,179.2533,119.0401,0.279887,0.32058,,,,,,,,,,,,,,,,,,,,,,,,,1
1549.2984,2.3387,150.9675,245.5276,71.657,0.9592,0.8903,1.0136,1.0415,203.3596,102.3756,0.275739,0.317532,,,,,,,,,,,,,,,,,,,,,,,,,1
1549.4508,2.326,104.4501,312.7074,66.3739,0.931,0.8335,0.9558,0.8496,227.4659,85.7111,0.273362,0.314484,,,,,,,,,,,,,,,,,,,,,,,,,1
1549.6032,2.333,116.9804,307.5354,63.8541,0.8102,0.814,0.9323,0.8121,253.9807,94.1996,0.272171,0.313789,,,,,,,,,,,,,,,,,,,,,,,,,1
1549.7556,2.3606,157.6615,267.8701,64.4834,0.7786,0.8123,0.9253,1.0098,281.6437,114.6797,0.272083,0.314216,,,,,,,,,,,,,,,,,,,,,,,,,1
1549.908,2.3435,198.3426,228.2047,71.6317,1.0491,0.8107,0.9183,1.0072,309.3067,135.1599,0.273831,0.314642,,,,,,,,,,,,,,,,,,,,,,,,,1
1550.0604,2.2959,213.8255,203.7029,76.6879,0.9887,0.8003,0.9085,0.8547,339.4566,148.8878,0.275784,0.31496,,,,,,,,,,,,,,,,,,,,,,,,,1
1550.2128,2.2837,190.9272,202.2977,71.2317,0.8028,0.7767,0.8947,0.8377,373.3943,152.3311,0.2764,0.315113,,,,,,,,,,,,,,,,,,,,,,,,,1
1550.3652,2.2909,168.0289,200.8926,63.3323,0.7235,0.753,0.8808,0.856,407.3319,155.7744,0.275826,0.315265,,,,,,,,,,,,,,,,,,,,,,,,,1
1550.5176,2.3093,149.0,273176288.0,62.5294,0.715,0.7352,0.8705,0.876,433.1899,157.2969,0.274926,0.315481,,,,,,,,,,,,,,,,,,,,,,,,,1
1550.67,2.3154,159.6078,2638632960.0,65.8702,0.6516,0.7617,0.8866,0.9136,397.1649,144.1083,0.27409,0.316182,,,,,,,,,,,,,,,,,,,,,,,,,1
1550.8224,2.3172,170.2156,5004089344.0,72.529,0.5994,0.7882,0.9026,0.8897,361.1398,130.9196,0.275076,0.316883,,,,,,,,,,,,,,,,,,,,,,,,,1
1550.9748,2.3338,180.8233,7369546240.0,77.0031,0.6812,0.8147,0.9187,0.803,325.1148,117.731,0.278734,0.317584,,,,,,,,,,,,,,,,,,,,,,,,,1
1551.1272,2.3657,157.7066,8057278976.0,79.0537,0.8823,0.9776,1.0164,0.9933,306.8737,109.7418,0.280336,0.312103,,,,,,,,,,,,,,,,,,,,,,,,,1
