DEPTH,DT,GR_CAL,TENS
1570.6344,213.1665,66.4751,320.4779
1570.7868,216.9402,68.7913,315.6954
1570.9392,212.2596,69.2124,315.8592
1571.0916,213.3385,69.2124,320.1447
1571.244,213.3406,57.126,322.4969
1571.3964,211.085,54.6203,322.438
1571.5488,208.2173,46.7663,320.7523
1571.7012,204.7996,46.7663,324.0204
1571.8536,209.7636,44.2185,324.5746
1572.006,212.3169,58.3262,324.2021
1572.1584,219.6994,71.5918,320.6348
1572.3108,225.6983,76.2242,317.8729
1572.4632,216.8774,71.5918,320.9287
1572.6156,218.0527,63.6956,318.1454
1572.768,216.2634,60.3266,319.0489
1572.9204,216.4406,61.8006,321.1836
1573.0728,215.4049,62.9587,317.0282
1573.2252,214.8599,64.4326,315.1269
1573.3776,217.286,64.1168,316.989
1573.53,220.0734,68.328,321.5614
1573.6824,228.229,71.2759,326.221
1573.8348,270.1528,86.5629,322.4576
1573.9872,274.0511,94.3538,317.7481
1574.1396,265.8401,89.1318,321.6736
1574.292,258.0386,65.317,322.9477
1574.4444,220.8517,45.903,321.6932
1574.5968,211.1042,43.5447,322.9334
1574.7492,222.9385,49.4404,321.5364
1574.9016,250.3967,63.8009,319.4979
1575.054,272.9018,81.2777,314.3803
1575.2064,278.1701,84.1414,309.8151
1575.3588,279.0103,82.2463,311.6539
1575.5112,265.9638,73.15,315.3817
1575.6636,251.1286,81.2356,317.3739
1575.816,241.1654,79.6564,318.7531
1575.9684,247.914,89.8477,319.6191
1576.1208,247.3756,96.8174,320.6348
1576.2732,231.7879,108.5037,318.6747
1576.4256,241.2496,105.9558,313.1152
1576.578,230.1834,112.4623,314.5781
1576.7304,223.603,118.6107,318.1579
1576.8828,227.6936,121.6218,318.0475
1577.0352,225.8151,110.9462,317.1263
1577.1876,223.4173,97.9755,315.6365
1577.34,221.799,89.6792,315.1287
1577.4924,225.8204,82.2674,314.0292
1577.6448,227.2488,80.4144,313.2933
1577.7972,226.7729,81.0672,313.0688
1577.9496,235.4696,101.2603,313.418
1578.102,244.4043,133.2239,312.8532
1578.2544,245.5059,174.4523,311.262
1578.4068,241.033,182.517,312.9726
1578.5592,245.7096,168.9145,312.6768
1578.7116,257.4997,160.5762,314.808
1578.864,265.368,179.3374,315.421
1579.0164,283.5117,190.1604,314.4159
1579.1688,286.5616,179.0426,308.8207
1579.3212,263.5692,153.0591,307.2082
1579.4736,246.187,129.4337,309.783
1579.626,243.2358,115.9998,313.696
1579.7784,241.3364,133.266,313.418
1579.9308,246.7558,147.1632,310.2855
1580.0832,280.1385,159.6707,308.1686
1580.2356,285.6439,151.0376,307.6626
1580.388,294.7621,153.8171,312.226
1580.5404,303.908,159.1443,307.9726
1580.6928,302.4188,145.8788,310.2072
1580.8452,303.7803,133.8345,314.6298
1580.9976,306.9501,121.9587,313.1865
1581.15,308.0001,124.5487,314.0881
1581.3024,299.537,132.0868,311.4579
1581.4548,295.3848,129.8338,309.7563
1581.6072,289.9781,125.6646,310.5136
1581.7596,300.4266,124.4013,310.854
1581.912,317.279,126.7175,307.4041
1582.0644,332.2347,129.9602,307.4844
1582.2168,331.7722,120.4848,308.051
1582.3692,314.8161,109.5986,309.0346
1582.5216,287.5549,89.1949,306.6005
1582.674,265.8351,70.3916,306.5614
1582.8264,255.4265,60.8951,306.5044
1582.9788,258.3061,68.2649,304.562
1583.1312,278.0766,86.7945,306.5614
1583.2836,290.5802,107.3245,307.4309
1583.436,297.3711,117.8106,307.3453
1583.5884,308.9221,126.928,306.8606
1583.7408,314.1784,135.8138,308.4822
1583.8932,306.0287,136.2771,310.5403
1584.0456,308.2162,127.1597,312.8924
1584.198,311.8499,114.9048,312.4558
1584.3504,300.9197,117.221,313.7549
1584.5028,302.7739,120.4637,314.7189
1584.6552,295.7479,121.1375,315.421
1584.8076,266.5335,121.9798,316.9463
1584.96,252.4256,125.2225,316.3226
