STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_SM
ABAB,ABB-064,1445.9712,9.528,1.061,62.96007999999999,0.751,0.4395,2.343,GUF,62.684048000000004
ABAB,ABB-064,1446.1236,9.561,1.177,63.56136,0.747,0.4253,2.358,GUF,63.30474400000001
ABAB,ABB-064,1446.276,9.595,1.293,63.91116,0.743,0.4167,2.376,GUF,63.736239999999995
ABAB,ABB-064,1446.4284,9.657,1.409,64.07244,0.739,0.4185,2.387,GUF,63.901495999999995
ABAB,ABB-064,1446.5808,9.686,1.525,64.17616,0.741,0.4107,2.377,GUF,63.832736
ABAB,ABB-064,1446.7332,9.714,1.641,63.78635999999999,0.743,0.4036,2.353,GUF,63.59292799999999
ABAB,ABB-064,1446.8856,9.716,1.432,63.21755999999999,0.745,0.4134,2.365,GUF,63.280936
ABAB,ABB-064,1447.038,9.719,1.224,62.712120000000006,0.747,0.438,2.355,GUF,63.00228
ABAB,ABB-064,1447.1904,9.7,1.143,62.51248,0.749,0.435,2.338,GUF,63.00420799999999
ABAB,ABB-064,1447.3428,9.7,1.062,62.78288,0.756,0.4289,2.368,GUF,63.440112
ABAB,ABB-064,1447.4952,9.701,0.981,63.79600000000001,0.763,0.4158,2.419,GUF,64.36104
ABAB,ABB-064,1447.6476,9.761,0.9,65.39708,0.77,0.4295,2.408,GUF,65.701296
ABAB,ABB-064,1447.8,9.861,0.819,67.31676,0.777,0.4424,2.389,GUF,67.296016
ABAB,ABB-064,1447.9524,9.96,0.982,69.21376,0.783,0.4354,2.398,GUF,68.945944
ABAB,ABB-064,1448.1048,9.998,1.146,70.75648,0.79,0.4145,2.397,GUF,70.471792
ABAB,ABB-064,1448.2572,9.96,1.309,72.04564,0.797,0.4103,2.405,GUF,71.72868
ABAB,ABB-064,1448.4096,9.921,1.473,73.02632,0.804,0.4178,2.398,GUF,72.653648
ABAB,ABB-064,1448.562,9.863,1.636,73.6012,0.811,0.4097,2.384,GUF,73.274528
ABAB,ABB-064,1448.7144,9.833,1.799,73.83860000000001,0.817,0.4019,2.387,GUF,73.57724800000001
